from_node,to_node,road_id,from_node_lon,from_node_lat,to_node_lon,to_node_lat,distance,duration
42421728,42432736,0,-73.9600434,40.7980486,-73.9595485,40.798725,86.00049778,23
42421728,42435337,1,-73.9600434,40.7980486,-73.9605358,40.7973755,85.57742468,24
42421728,42421731,2,-73.9600434,40.7980486,-73.9614743,40.798645,137.6602511,38
42421731,42432737,3,-73.9614743,40.798645,-73.9609759,40.7993247,86.46451357,50
42421731,42437916,4,-73.9614743,40.798645,-73.9619619,40.79798,84.59366844,49
42421731,42421728,5,-73.9614743,40.798645,-73.9600434,40.7980486,137.6602511,38
42421731,42421737,6,-73.9614743,40.798645,-73.962886,40.7992545,136.9735006,39
42421737,42421741,7,-73.962886,40.7992545,-73.9657046,40.8004313,271.2719105,72
42421737,42437917,8,-73.962886,40.7992545,-73.9633805,40.7985719,86.58763769,31
42421737,42421731,9,-73.962886,40.7992545,-73.9614743,40.798645,136.9735006,39
42421741,42421737,10,-73.9657046,40.8004313,-73.962886,40.7992545,271.2719105,72
42421741,42432756,11,-73.9657046,40.8004313,-73.965211,40.8011074,85.91819367,20
42421741,1061531654,12,-73.9657046,40.8004313,-73.9677887,40.8013053,200.7885414,54
42421745,42428751,13,-73.9679942,40.8014007,-73.9680997,40.8005442,95.63802559,22
42421745,1061531654,14,-73.9679942,40.8014007,-73.9677887,40.8013053,20.31439653,7
42421745,42421749,15,-73.9679942,40.8014007,-73.9685615,40.8016434,54.91531336,16
42421749,42421751,16,-73.9685615,40.8016434,-73.970054,40.8022682,143.7326752,83
42421749,42431118,17,-73.9685615,40.8016434,-73.9690678,40.8009593,87.21640996,23
42421749,42421745,18,-73.9685615,40.8016434,-73.9679942,40.8014007,54.91531336,16
42421751,42421749,19,-73.970054,40.8022682,-73.9685615,40.8016434,143.7326752,83
42421751,42432764,20,-73.970054,40.8022682,-73.96956,40.802938,85.34143934,50
42421769,42443347,21,-73.9749879,40.7826312,-73.975483,40.7819523,86.25180154,31
42421772,42421769,22,-73.9778254,40.783828,-73.9749879,40.7826312,273.7427454,158
42421772,42442469,23,-73.9778254,40.783828,-73.9773621,40.7844628,80.66377764,18
42421775,42428653,24,-73.9795827,40.7845691,-73.9800838,40.783893,86.22624211,31
42421775,1061531525,25,-73.9795827,40.7845691,-73.9794053,40.7844943,17.11306626,10
42421776,42421775,26,-73.9806779,40.7850311,-73.9795827,40.7845691,105.6610761,61
42421776,42431019,27,-73.9806779,40.7850311,-73.9811702,40.7843497,86.38145557,23
42421776,42431024,28,-73.9806779,40.7850311,-73.9802226,40.785659,79.66628237,21
42421778,42421776,29,-73.9820114,40.7855935,-73.9806779,40.7850311,128.6446925,75
42421778,42441587,30,-73.9820114,40.7855935,-73.981448,40.786184,81.14450796,23
42421778,42422592,31,-73.9820114,40.7855935,-73.9826602,40.7849758,87.7968905,24
42421783,42427782,32,-73.9313326,40.8593027,-73.932983,40.858113,250.4511368,101
42421783,1764387321,33,-73.9313326,40.8593027,-73.9315042,40.8589437,42.45393035,10
42421783,1764387326,34,-73.9313326,40.8593027,-73.9312076,40.8596364,38.56772798,9
42421783,1764387328,35,-73.9313326,40.8593027,-73.9311471,40.8591806,20.70914615,15
42421785,42421786,36,-73.930122,40.858744,-73.927625,40.859012,240.1990665,91
42421785,42443520,37,-73.930122,40.858744,-73.927977,40.859545,201.5822272,118
42421786,42421791,38,-73.927625,40.859012,-73.926786,40.859944,127.67619,48
42421791,4814440062,39,-73.926786,40.859944,-73.9252169,40.8613774,216.1729987,81
42421791,42448930,40,-73.926786,40.859944,-73.9273,40.860657,90.66215311,53
42421800,42424851,41,-73.9703286,40.7839788,-73.9698592,40.7846108,80.64269265,22
42421800,42435308,42,-73.9703286,40.7839788,-73.9707906,40.7833496,80.06623881,22
42421803,42437300,43,-73.9731396,40.7851655,-73.9735994,40.7845351,80.0928868,18
42421803,42421800,44,-73.9731396,40.7851655,-73.9703286,40.7839788,271.2446456,157
42421806,42421803,45,-73.9759753,40.7863627,-73.9731396,40.7851655,273.6317597,158
42421806,42442475,46,-73.9759753,40.7863627,-73.9755091,40.7870013,81.15181219,18
42421809,42428663,47,-73.9776927,40.7870877,-73.9781723,40.7864652,80.15448303,29
42421809,1061531683,48,-73.9776927,40.7870877,-73.9775173,40.7870136,16.92788159,10
42421810,42421809,49,-73.9788289,40.7875673,-73.9776927,40.7870877,109.6330755,64
42421810,42431030,50,-73.9788289,40.7875673,-73.9792937,40.7869385,80.14255324,21
42421810,42431034,51,-73.9788289,40.7875673,-73.978373,40.7881993,80.09027188,21
42421820,42421810,52,-73.9810702,40.7885135,-73.9788289,40.7875673,216.2721799,125
42421820,42437312,53,-73.9810702,40.7885135,-73.9811501,40.787722,88.25443598,24
42421820,42441569,54,-73.9810702,40.7885135,-73.9808596,40.7892565,85.09204617,26
42421828,42430938,55,-73.976212,40.725326,-73.9775364,40.7258829,127.6770904,58
42421828,42430942,56,-73.976212,40.725326,-73.975164,40.724877,101.483109,46
42421852,42442584,57,-73.9568144,40.8126067,-73.956257,40.81337,97.00512646,26
42421852,42438928,58,-73.9568144,40.8126067,-73.957798,40.8112598,171.1738693,46
42421852,561035342,59,-73.9568144,40.8126067,-73.9596275,40.8137561,269.4075922,157
42421857,1506591534,60,-73.9598159,40.8138385,-73.9612283,40.8118836,247.8295981,56
42421857,561035342,61,-73.9598159,40.8138385,-73.9596275,40.8137561,18.3364729,12
42421857,42421865,62,-73.9598159,40.8138385,-73.960687,40.814192,83.29696809,49
42421865,42443181,63,-73.960687,40.814192,-73.959719,40.815526,169.2826543,100
42421865,1332860731,64,-73.960687,40.814192,-73.962106,40.812252,246.6424087,145
42421865,42421857,65,-73.960687,40.814192,-73.9598159,40.8138385,83.29696809,49
42421877,42437949,66,-73.9959038,40.7328593,-73.996351,40.732255,77.04098661,28
42421877,42421889,67,-73.9959038,40.7328593,-73.9991816,40.7341463,313.1818002,114
42421889,42430241,68,-73.9991816,40.7341463,-73.998714,40.734784,81.12307438,30
42421889,42432191,69,-73.9991816,40.7341463,-73.9996618,40.7340688,41.45997294,17
42421941,42421960,70,-74.008789,40.704211,-74.0089636,40.7040838,20.41283657,8
42421941,42453902,71,-74.008789,40.704211,-74.007392,40.705183,159.8447261,59
42421946,42421941,72,-74.008325,40.703813,-74.008789,40.704211,59.06187638,22
42421951,42421946,73,-74.0077787,40.7033242,-74.008325,40.703813,71.23632356,26
42421951,42421965,74,-74.0077787,40.7033242,-74.0079771,40.7032082,21.12584863,9
42421951,42444223,75,-74.0077787,40.7033242,-74.0070607,40.7037691,78.17297468,29
42421960,42421941,76,-74.0089636,40.7040838,-74.008789,40.704211,20.41283657,8
42421960,42427956,77,-74.0089636,40.7040838,-74.009424,40.7045078,61.06404279,22
42421960,42431898,78,-74.0089636,40.7040838,-74.0115091,40.7029687,252.3520299,93
42421960,42421965,79,-74.0089636,40.7040838,-74.0079771,40.7032082,128.0390391,47
42421965,3790255302,80,-74.0079771,40.7032082,-74.0107988,40.7018767,282.5648022,110
42421969,42435250,81,-73.9810292,40.7692746,-73.9805755,40.7699112,80.45096243,22
42421972,42428570,82,-73.9822548,40.7697921,-73.9822067,40.7689456,94.19906322,34
42421972,1061531777,83,-73.9822548,40.7697921,-73.9819968,40.7696743,25.39040836,15
42421974,1241742627,84,-73.9838503,40.770478,-73.9843207,40.7698413,81.14193315,30
42421974,42421972,85,-73.9838503,40.770478,-73.9822548,40.7697921,154.6279698,90
42421982,4081416473,86,-73.9866974,40.7716655,-73.9862438,40.7722879,79.06159071,18
42421982,2974462027,87,-73.9866974,40.7716655,-73.9859388,40.7712531,81.20348954,49
42421985,3533937800,88,-73.9895487,40.7728658,-73.9905614,40.7733062,98.42571543,58
42421985,42421982,89,-73.9895487,40.7728658,-73.9866974,40.7716655,274.9489102,162
42421985,2061592973,90,-73.9895487,40.7728658,-73.9900092,40.7722297,80.67639264,22
42421985,42430981,91,-73.9895487,40.7728658,-73.9890921,40.7734934,79.689947,23
42421993,42431447,92,-73.9679486,40.7872303,-73.9674799,40.7878728,81.63324396,22
42421993,42435312,93,-73.9679486,40.7872303,-73.9684052,40.7866043,79.53424088,21
42421993,42421996,94,-73.9679486,40.7872303,-73.9707647,40.7884217,271.8744005,158
42421996,42422000,95,-73.9707647,40.7884217,-73.9736025,40.7896131,273.4735625,158
