,cs,tt
42428417,42439583,343
42428420,42439583,371
42428425,42439583,287
42428428,42439583,251
42428431,42439583,276
42428433,42439583,189
42428434,42439583,29
42428436,42439583,74
42433573,42439583,160
42439207,42439583,196
42445356,42439583,387
42445357,42439583,473
42453038,42439583,314
42430519,42439583,484
42430521,42439583,467
4121338429,42439583,475
42430529,42439583,453
42453059,42439583,298
42430535,42439583,364
42452040,42439583,72
42452048,42439583,157
3788379733,42439583,210
42430550,42439583,360
42424408,42439583,380
42430557,42439583,405
4778174564,42439583,241
42440810,42439583,179
42430571,42439583,432
42440815,42439583,176
42431602,42439583,421
42440820,42439583,159
42440823,42439583,131
42440825,42439583,141
42438779,42439583,247
42431611,42439583,411
42438781,42439583,219
42440829,42439583,178
42431614,42439583,456
4137021568,42439583,275
42431617,42439583,517
42440838,42439583,251
4143851142,42439583,267
4143851144,42439583,250
42431626,42439583,562
42431629,42439583,601
42431630,42439583,611
42440847,42439583,415
42432152,42439583,173
4143859865,42439583,206
42445466,42439583,318
4143859873,42439583,197
42449570,42439583,44
42430115,42439583,254
42432161,42439583,148
42445474,42439583,346
42430118,42439583,257
42445479,42439583,373
42445481,42439583,342
42430122,42439583,223
42445484,42439583,196
42430126,42439583,213
42445489,42439583,128
42430131,42439583,235
42449600,42439583,483
272195271,42439583,470
246858448,42439583,572
4142105811,42439583,344
4142105812,42439583,383
4142105813,42439583,271
42436308,42439583,407
42440916,42439583,452
42440918,42439583,477
42436313,42439583,480
42436316,42439583,498
4142105822,42439583,322
42436322,42439583,463
42436326,42439583,426
42436327,42439583,411
42426089,42439583,314
42436330,42439583,395
42436333,42439583,379
42436335,42439583,368
42436336,42439583,382
42436340,42439583,353
42453773,42439583,326
42453777,42439583,222
42434839,42439583,245
42434842,42439583,259
42434845,42439583,268
4629486879,42439583,312
42448162,42439583,383
42424610,42439583,354
42434855,42439583,240
42448171,42439583,280
42424619,42439583,449
42434871,42439583,470
42443588,42439583,499
2821304136,42439583,550
2821304137,42439583,523
2821304138,42439583,549
42452816,42439583,354
42452817,42439583,308
2821304145,42439583,649
5812723033,42439583,534
5812723035,42439583,443
5812723036,42439583,542
4754091366,42439583,380
42445171,42439583,402
42445700,42439583,337
42429829,42439583,354
42445702,42439583,342
42429830,42439583,335
42429832,42439583,430
42429833,42439583,440
42447246,42439583,166
42427278,42439583,367
42447249,42439583,193
42427281,42439583,343
42438038,42439583,290
42447255,42439583,218
42439580,42439583,86
42439581,42439583,58
42439583,42439583,0
4878831008,42439583,393
42453417,42439583,506
42436014,42439583,327
42427311,42439583,171
42436017,42439583,426
42427316,42439583,152
42436021,42439583,429
42427319,42439583,120
42427322,42439583,108
42427324,42439583,208
42427327,42439583,196
42436050,42439583,474
42436055,42439583,415
42436056,42439583,443
42436060,42439583,455
42436064,42439583,477
42436069,42439583,400
42436073,42439583,377
42428402,42439583,446
42436083,42439583,387
42428405,42439583,473
42428408,42439583,398
4207143418,42439583,537
42428411,42439583,372
42439170,42431467,406
42439178,42431467,328
42439181,42431467,461
42440721,42431467,350
42439191,42431467,534
42440729,42431467,254
42446875,42431467,344
42438173,42431467,515
42438174,42431467,541
42446879,42431467,394
42440737,42431467,176
42443298,42431467,368
42439203,42431467,517
42446885,42431467,295
42440743,42431467,92
42446889,42431467,258
42440754,42431467,337
42428483,42431467,489
42421828,42431467,544
42428489,42431467,420
42451018,42431467,594
42428491,42431467,451
42428493,42431467,380
42446925,42431467,540
1989931095,42431467,532
685164634,42431467,546
685164636,42431467,573
42434142,42431467,350
42442857,42431467,378
42442862,42431467,325
42453104,42431467,413
42442870,42431467,237
42442877,42431467,266
5145531517,42431467,559
42438784,42431467,414
42442881,42431467,311
42440323,42431467,563
589100164,42431467,708
42440325,42431467,509
42440326,42431467,453
42442889,42431467,407
42440330,42431467,374
42442891,42431467,468
42436756,42431467,670
42434197,42431467,456
42434201,42431467,432
42439323,42431467,87
42437280,42431467,479
42437283,42431467,371
42437287,42431467,294
42437289,42431467,239
4597668023,42431467,431
4597668026,42431467,486
4597668028,42431467,521
42446528,42431467,381
42438849,42431467,488
42437826,42431467,461
4597668035,42431467,415
4597668036,42431467,460
42446533,42431467,315
4597668038,42431467,513
4597668039,42431467,548
42437830,42431467,400
4597668041,42431467,598
589100228,42431467,636
4235734223,42431467,366
4235734225,42431467,356
42446547,42431467,154
42446552,42431467,248
42438362,42431467,567
42446562,42431467,330
387184869,42431467,528
5137747688,42431467,629
42446571,42431467,415
589100267,42431467,650
1692450029,42431467,345
42422509,42431467,1080
370914027,42431467,1250
3430331121,42431467,470
3430331122,42431467,610
589100791,42431467,488
42446584,42431467,519
42423549,42431467,1017
42428170,42431467,637
5145323793,42431467,470
3892037906,42431467,321
42428179,42431467,567
42434352,42431467,310
42434354,42431467,371
42434355,42431467,398
42434357,42431467,425
42434358,42431467,452
42448693,42431467,595
42434360,42431467,463
42448701,42431467,485
42453310,42431467,552
42438463,42431467,539
42448707,42431467,494
42457925,42431467,1009
42448714,42431467,617
42436939,42431467,390
